Country;Year;gdp;mtr;gdp_growth_rate
PT;2019;36210,756748;0,4;
RO;2019;32317,038169;0,84;
SE;2019;54657,335242;0,55;
SI;2019;40702,235352;1,14;
SK;2019;32006,155015;1,226;
UK;2019;49122,95765;0,5476;0,29722809784733900000
AT;2020;55798,232644;0,8049;
BE;2020;53298,605116;0,99;
BG;2020;24626,059448;0,7158;
CH;2020;71831,736102;2,8877;
CY;2020;39857,619929;0,17;
CZ;2020;41684,610948;0,9165;
DE;2020;54954,916894;0,9;
DK;2020;60365,764867;0,5162;
EE;2020;37735,307368;0,7;
EL;2020;27957,913164;0,622;
ES;2020;37840,15233;0,64;
FI;2020;50608,165962;0,89;0,79005450351927300000
FR;2020;46785,145261;0,74;
HR;2020;29119,815227;0,5938;
HU;2020;33142,547097;0,4864;
IE;2020;93638,605353;0,55;1,2852981944514750
IS;2020;53719,257503;0,656;
IT;2020;41986,511434;0,76;-1,14859673150562500000
LT;2020;38958,8579;0,94;
LU;2020;117958,365531;0,89;
LV;2020;31539,195384;0,8868;
MT;2020;44200,322498;0,4045;
NL;2020;59388,026375;0,581;
NO;2020;62776,571836;0,2907;
PL;2020;33948,534767;0,9528;
PT;2020;34245,86053;0,36;
RO;2020;31875,149114;0,76;
SE;2020;55148,580215;0,2028;
SI;2020;39798,053356;0,882;
SK;2020;31409,414684;0,818;
UK;2020;46743,999172;0,5565;-0,93032342619702300000
